,titulo,clasificacion,duracion,año,tipo_de_sonido,sinopsis
0,Piloto,SAM13,42 MIN,2013,SONIDO ENVOLVENTE 5.1,"La joven Mary Stuart viaja a Francia para conocer a su prometido el príncipe Francis. Aunque su madre, la reina Catherine, intente impedirlo."
1,Serpientes en el jardín,SAM13,42 MIN,2013,SONIDO ENVOLVENTE 5.1,"Mary y Francis quieren convencer a los ingleses de que su compromiso es fuerte, mientras tanto, Catherine busca a alguien que puede arruinar su plan en contra de Mary."
2,Beso,SAM13,42 MIN,2013,SONIDO ENVOLVENTE 5.1,"El rey Henry de Francia rechaza ayudar a Mary contra los ingleses invasores en Escocia, ella sopesa la posibilidad de aliarse con Portugal con una boda."
3,Corazones y mentes,SAM13,41 MIN,2013,SONIDO ENVOLVENTE 5.1,"Mary debe mentir para ayudar a su país, Francis y Bash descubren cosas desconcertantes sobre Tomas, que hacen que Mary piense dos veces su propuesta de matrimonio."
4,Frío en el aire,SAM13,41 MIN,2013,SONIDO ENVOLVENTE 5.1,"El camino hacia el amor verdadero es complicado para Francis, que se topa con una antigua enamorada; Mary acepta un beso y Kenna insiste en sostener su relación prohibida."
5,La elegida,SAM13,40 MIN,2013,SONIDO ENVOLVENTE 5.1,Bash planea salvar a Mary cuando los paganos quieren matarla; los celos de Francis lo arrojan a los brazos de Olivia.
6,Rehénes,SAM13,41 MIN,2013,SONIDO ENVOLVENTE 5.1,Mary y Catherine se alían cuando el castillo cae y todos permanecen como rehenes; Diane planea hacer que Henry sepa que Bash es su legítimo heredero.
7,Destino,SAM13,42 MIN,2013,SONIDO ENVOLVENTE 5.1,"Henry quiere que Mary y Francis se casen, pero las predicciones de Nostradamus tienen a Mary preocupada. A Catherine le molestan los planes que Diane tiene para Bash."
8,Por el rey y el país,SAM13,41 MIN,2014,SONIDO ENVOLVENTE 5.1,Francia se arriesga cuando Mary convence a Henry de tomar una decisión que puede poner en riesgo la legitimidad de su hijo.
9,Sacrificio,SAM13,41 MIN,2014,SONIDO ENVOLVENTE 5.1,Mary se involucra con una prisionera embarazada que tiene vínculos con Bash; las amigas de Mary se enredan en los atentados para asesinar a Catherine.
10,Inquisición,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,"Henry descubre secretos oscuros en el pasado de Catherine y la manda arrestar, ella intenta disuadirlo con evidencia en contra de Bash."
11,Sangre real,SAM13,41 MIN,2014,SONIDO ENVOLVENTE 5.1,Las extravagancias de Clarissa preocupan a todos y hacen que Mary y Bash se alíen a Catherine. Francis se siente atraído por Lola durante su estancia en París.
12,Consumación,SAM13,41 MIN,2014,SONIDO ENVOLVENTE 5.1,"La familia real interfiere cuando Catherine y la madre de Mary la presionan para decidir entre Bash y Francis, lo que resultaría decepcionante para uno de ellos."
13,Secretos,SAM13,40 MIN,2014,SONIDO ENVOLVENTE 5.1,Henry necesita la ayuda de Catherine para prevenir una crisis; Mary descubre la identidad del padre del bebé de Lola y Bash rescata a una damisela en peligro.
14,La oscuridad,SAM13,41 MIN,2014,SONIDO ENVOLVENTE 5.1,"Bash busca a la famosa criatura del bosque mientras Mary presiona para que Lola se case, Greer se debate entre sus pretendientes y Henry se vuelve más violento."
15,Monstruos,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,Francis y Bash quieren recuperar su buena relación pero Henry interfiere y ordena que uno de ellos se case con su propia amante. Greer acepta la propuesta.
16,Señor feudal,SAM13,41 MIN,2014,SONIDO ENVOLVENTE 5.1,Mary se entera de que su contrato matrimonio contiene una cláusula mortal y amenaza a Henry con revelar su enfermedad si no destruye el documento.
17,Sin salida,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,"Francis toma una decisión radical para salvar a Mary de morir, Catherine y Kenna se alían para hacer que Henry deje a su ambiciosa amante."
18,Soldados de juguete,SAM13,40 MIN,2014,SONIDO ENVOLVENTE 5.1,Mary intenta evitar una revuelta en Escocia y por eso se enfurece cuando Francis quiere usar al ejército del tío de Mary contra los ingleses.
19,Terrenos peligrosos,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,Mary contrata a un cruel mercenario para colaborar con Escocia; Francis y Leith luchan del lado de los ingleses; Lola duda de la honestidad de su esposo.
